timestamp,task_type,model,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds,success,error_message
2025-12-09T20:04:34.368144,translation,gpt-4o-mini,629,140,769,0.000178,4.188,True,
2025-12-09T20:04:48.482345,interpretation,gpt-4o-mini,545,494,1039,0.000378,14.111,True,
2025-12-09T20:10:36.574061,translation,gpt-4o-mini,628,140,768,0.000178,3.851,True,
2025-12-09T20:10:41.200842,interpretation,gpt-4o-mini,623,141,764,0.000178,4.624,True,
2025-12-09T20:10:59.200896,explanation,gpt-4o-mini,345,235,580,0.000193,5.023,True,
2025-12-09T21:00:50.102466,translation,gpt-4o-mini,623,142,765,0.000179,4.684,True,
2025-12-09T21:00:52.864144,interpretation,gpt-4o-mini,620,136,756,0.000175,2.758,True,
2025-12-09T21:01:06.349830,explanation,gpt-4o-mini,346,203,549,0.000174,6.586,True,
2025-12-09T21:01:37.866477,translation,gpt-4o-mini,644,176,820,0.000202,4.998,True,
2025-12-09T21:01:42.867881,interpretation,gpt-4o-mini,675,163,838,0.000199,5.000,True,
2025-12-09T21:01:56.268039,translation,gpt-4o-mini,0,0,0,0.000000,4.450,False,Invalid date format in spec: Invalid isoformat string: 'YYYY-MM-DD'
2025-12-09T21:03:51.565932,translation,gpt-4o-mini,644,176,820,0.000202,5.364,True,
2025-12-09T21:03:54.925830,interpretation,gpt-4o-mini,675,146,821,0.000189,3.358,True,
2025-12-09T21:04:20.991522,explanation,gpt-4o-mini,373,216,589,0.000186,5.314,True,
2025-12-09T21:04:59.876957,translation,gpt-4o-mini,645,175,820,0.000202,4.820,True,
2025-12-09T21:05:03.837661,interpretation,gpt-4o-mini,675,161,836,0.000198,3.958,True,
2025-12-09T21:08:42.261069,explanation,gpt-4o-mini,372,223,595,0.000190,6.893,True,
2025-12-09T21:09:03.103689,translation,gpt-4o-mini,665,177,842,0.000206,5.802,True,
2025-12-09T21:09:07.622819,interpretation,gpt-4o-mini,697,174,871,0.000209,4.518,True,
